0,0,0,0,,0.00,0.00
1,162,238,199,land,0.00,0.00
2,237,226,244,land,0.00,0.00
3,243,46,212,land,0.00,0.00
4,240,187,94,land,0.00,0.00
5,216,176,182,land,0.00,0.00
6,240,147,154,land,0.00,0.00
7,23,240,246,land,0.00,0.00
8,203,191,110,land,0.00,0.00
9,150,198,186,land,0.00,0.00
10,240,206,195,land,0.00,0.00
11,216,149,151,land,0.00,0.00
12,252,149,111,land,0.00,0.00
13,231,213,87,land,0.00,0.00
14,207,249,189,land,0.00,0.00
15,214,91,220,land,0.00,0.00
16,236,133,247,land,0.00,0.00
17,195,195,243,land,0.00,0.00
18,243,185,114,land,0.00,0.00
19,164,251,98,land,0.00,0.00
20,250,168,212,land,0.00,0.00
21,217,212,252,land,0.00,0.00
22,154,178,200,land,0.00,0.00
23,195,215,97,land,0.00,0.00
24,149,208,215,land,0.00,0.00
25,215,218,158,land,0.00,0.00
26,213,217,138,land,0.00,0.00
27,180,241,210,land,0.00,0.00
28,158,166,245,land,0.00,0.00
29,169,224,198,land,0.00,0.00
30,164,143,207,land,0.00,0.00
31,37,254,252,land,0.00,0.00
32,111,215,208,land,0.00,0.00
33,220,212,166,land,0.00,0.00
34,252,228,42,land,0.00,0.00
35,136,171,206,land,0.00,0.00
36,209,219,87,land,0.00,0.00
37,226,213,84,land,0.00,0.00
38,119,188,197,land,0.00,0.00
39,147,175,195,land,0.00,0.00
40,138,152,247,land,0.00,0.00
41,224,104,215,land,0.00,0.00
42,240,237,215,land,0.00,0.00
43,213,144,179,land,0.00,0.00
44,134,253,145,land,0.00,0.00
45,225,49,239,land,0.00,0.00
46,162,143,204,land,0.00,0.00
47,224,109,202,land,0.00,0.00
48,202,141,243,land,0.00,0.00
49,212,239,243,land,0.00,0.00
50,219,214,197,land,0.00,0.00
51,249,12,242,land,0.00,0.00
52,117,254,190,land,0.00,0.00
53,209,246,63,land,2823.00,419.62
54,227,122,208,land,0.00,0.00
55,96,234,191,land,0.00,0.00
